doc_id,sid,tid,token,token_with_ws,lemma,upos,xpos,tid_source,relation,token_clean,expected_prediction
3157,1,1,This,This,this,DET,DT,2,det,this,1.56E-08
3157,1,2,summons,summons,summon,VERB,VBZ,28,nsubj,summons,0.003949029
3157,1,3,up,up,up,PART,RP,2,prt,up,8.67E-08
3157,1,4,plenty,plenty,plenty,NOUN,NN,2,dobj,plenty,2.44E-04
3157,1,5,of,of,of,ADP,IN,4,prep,of,1.12E-09
3157,1,6,snappy,snappy,snappy,ADJ,JJ,8,amod,snappy,0.964006841
3157,1,7,grain,grain,grain,NOUN,NN,8,compound,grain,0.99997282
3157,1,8,notes,notes,note,NOUN,NNS,5,pobj,notes,6.07E-07
3157,1,10,with,with,with,ADP,IN,2,prep,with,5.45E-07
3157,1,11,green,green,green,ADJ,JJ,12,amod,green,0.999986053
3157,1,12,apple,apple,apple,NOUN,NN,10,pobj,apple,0.999992847
3157,1,14,melon,melon,melon,NOUN,NN,15,compound,melon,1
3157,1,15,rind,rind,rind,NOUN,NN,12,conj,rind,0.99999845
3157,1,17,and,and,and,CCONJ,CC,15,cc,and,1.51E-06
3157,1,18,zested,zested,zest,VERB,VBN,20,amod,zested,0.998318672
3157,1,19,lemon,lemon,lemon,ADV,RB,20,compound,lemon,1
3157,1,20,bumping,bumping,bump,VERB,VBG,15,conj,bumping,0.001078835
3157,1,21,into,into,into,ADP,IN,20,prep,into,9.20E-08
3157,1,22,dried,dried,dry,VERB,VBN,23,amod,dried,0.99999845
3157,1,23,chili,chili,chili,ADJ,JJ,21,pobj,chili,0.999990106
3157,1,25,green,green,green,ADJ,JJ,26,amod,green,0.999978065
3157,1,26,tomato,tomato,tomato,NOUN,NN,23,conj,tomato,0.999999881
3157,1,28,damp,damp,damp,ADJ,JJ,0,root,damp,0.99825567
3157,1,29,hay,hay,hay,NOUN,NN,30,compound,hay,0.99997282
3157,1,30,bales,bales,bale,NOUN,NNS,28,dobj,bales,0.994972229
3157,1,32,and,and,and,CCONJ,CC,28,cc,and,1.96E-06
3157,1,33,a,a,a,DET,DT,34,det,a,1.31E-09
3157,1,34,dose,dose,dose,NOUN,NN,28,conj,dose,5.74E-06
3157,1,35,of,of,of,ADP,IN,34,prep,of,1.95E-09
3157,1,36,spice,spice,spice,NOUN,NN,35,pobj,spice,0.999996066
3157,2,1,It,It,-PRON-,PRON,PRP,2,nsubj,it,2.98E-09
3157,2,2,'s,'s,be,VERB,VBZ,0,root,s,2.16E-07
3157,2,3,sweeter,sweeter,sweet,ADJ,JJR,2,acomp,sweeter,0.999560058
3157,2,4,than,than,than,ADP,IN,3,prep,than,2.11E-08
3157,2,5,a,a,a,DET,DT,6,det,a,8.78E-10
3157,2,6,kitten,kitten,kitten,NOUN,NN,4,pobj,kitten,4.00E-06
3157,2,7,with,with,with,ADP,IN,6,prep,with,7.65E-07
3157,2,8,a,a,a,DET,DT,9,det,a,7.54E-10
3157,2,9,ball,ball,ball,NOUN,NN,7,pobj,ball,2.13E-05
3157,2,10,of,of,of,ADP,IN,9,prep,of,1.91E-09
3157,2,11,wool,wool,wool,NOUN,NN,10,pobj,wool,1.14E-04
3157,2,13,lemon,lemon,lemon,NOUN,NN,14,compound,lemon,1
3157,2,14,bonbons,bonbons,bonbon,NOUN,NNS,3,conj,bonbons,0.977903724
3157,2,16,toffee,toffee,toffee,NOUN,NN,14,conj,toffee,1
3157,2,18,vanilla,vanilla,vanilla,NOUN,NN,19,compound,vanilla,0.999999642
3157,2,19,cream,cream,cream,NOUN,NN,16,conj,cream,0.999988198
3157,2,21,banana,banana,banana,NOUN,NN,22,compound,banana,0.999999881
3157,2,22,chews,chews,chew,NOUN,NNS,19,conj,chews,1.74E-05
3157,2,24,zesty,zesty,zesty,NOUN,NN,25,amod,zesty,0.999897003
3157,2,25,mandarin,mandarin,mandarin,NOUN,NN,22,conj,mandarin,0.998069465
3157,2,27,apple,apple,apple,NOUN,NN,25,conj,apple,0.999984741
3157,2,29,butterscotch,butterscotch,butterscotch,NOUN,NN,27,conj,butterscotch,0.999997258
3157,2,31,pepper,pepper,pepper,NOUN,NN,29,conj,pepper,0.99998498
3157,2,33,and,and,and,CCONJ,CC,31,cc,and,1.85E-06
3157,2,34,clove,clove,clove,VERB,VB,31,conj,clove,0.999995351
3157,3,1,Sour,Sour,sour,ADJ,JJ,3,amod,sour,0.999999642
3157,3,2,apple,apple,apple,NOUN,NN,3,compound,apple,0.999991059
3157,3,3,pips,pips,pip,NOUN,NNS,15,nsubj,pips,0.999598682
3157,3,5,burnt,burnt,burn,VERB,VBN,6,amod,burnt,0.999992132
3157,3,6,sugar,sugar,sugar,NOUN,NN,3,conj,sugar,1
3157,3,7,and,and,and,CCONJ,CC,6,cc,and,1.76E-06
3157,3,8,spice,spice,spice,NOUN,NN,6,conj,spice,0.999994159
3157,3,10,and,and,and,CCONJ,CC,3,cc,and,1.74E-06
3157,3,11,some,some,some,DET,DT,14,det,some,6.59E-07
3157,3,12,residual,residual,residual,ADJ,JJ,13,amod,residual,1.25E-04
3157,3,13,vanilla,vanilla,vanilla,NOUN,NN,14,compound,vanilla,0.999999642
3157,3,14,creaminess,creaminess,creaminess,NOUN,NN,15,nsubj,creaminess,0.999938965
3157,3,15,see,see,see,VERB,VB,0,root,see,2.59E-09
3157,3,16,it,it,-PRON-,PRON,PRP,15,dobj,it,3.37E-09
3157,3,17,out,out,out,PART,RP,15,prt,out,6.26E-07
4790,1,1,This,This,this,DET,DT,6,det,this,7.17E-09
4790,1,2,25-year,25-year,25-year,ADJ,JJ,4,npadvmod,25year,0.016517824
4790,1,4,old,old,old,ADJ,JJ,6,amod,old,4.48E-10
4790,1,5,single,single,single,ADJ,JJ,6,amod,single,2.40E-09
4790,1,6,malt,malt,malt,NOUN,NN,7,nsubj,malt,1
4790,1,7,is,is,be,VERB,VBZ,0,root,is,1.35E-10
4790,1,8,part,part,part,NOUN,NN,7,attr,part,3.99E-09
4790,1,9,of,of,of,ADP,IN,8,prep,of,5.53E-10
4790,1,10,Glenmorangie,Glenmorangie,Glenmorangie,PROPN,NNP,13,poss,glenmorangie,2.62E-04
4790,1,11,'s,'s,'s,PART,POS,10,case,s,1.26E-07
4790,1,12,Bond,Bond,Bond,PROPN,NNP,13,compound,bond,2.13E-07
4790,1,13,House,House,House,PROPN,NNP,17,nmod,house,7.32E-08
4790,1,14,No,No,no,NOUN,NN,15,subtok,no,6.37E-07
4790,1,16,1,1,1,NUM,CD,15,nummod,1,2.97E-08
4790,1,17,collection,collection,collection,NOUN,NN,9,pobj,collection,1.00E-08
4790,1,19,and,and,and,CCONJ,CC,7,cc,and,9.90E-07
4790,1,20,the,the,the,DET,DT,21,det,the,5.55E-08
4790,1,21,nose,nose,nose,NOUN,NN,22,nsubj,nose,1.04E-06
4790,1,22,is,is,be,VERB,VBZ,7,conj,is,3.11E-10
4790,1,23,fruity,fruity,fruity,NOUN,NN,22,attr,fruity,0.999998689
4790,1,24,and,and,and,CCONJ,CC,23,cc,and,1.36E-06
4790,1,25,floral,floral,floral,ADJ,JJ,23,conj,floral,0.999985814
4790,1,26,with,with,with,ADP,IN,25,prep,with,6.69E-07
4790,1,27,orange,orange,orange,ADJ,JJ,28,amod,orange,0.999996662
4790,1,28,peel,peel,peel,NOUN,NN,26,pobj,peel,0.999967813
4790,1,30,dried,dried,dry,VERB,VBN,31,amod,dried,0.999998331
4790,1,31,flowers,flowers,flower,NOUN,NNS,28,conj,flowers,0.999949217
4790,1,33,honey,honey,honey,NOUN,NN,31,conj,honey,1
4790,1,35,and,and,and,CCONJ,CC,33,cc,and,2.50E-06
4790,1,36,muted,muted,muted,ADJ,JJ,37,amod,muted,6.76E-06
4790,1,37,spices,spices,spice,NOUN,NNS,33,conj,spices,0.999994397
4790,2,1,The,The,the,DET,DT,2,det,the,1.14E-07
4790,2,2,taste,taste,taste,NOUN,NN,3,nsubj,taste,8.74E-06
4790,2,3,starts,starts,start,VERB,VBZ,0,root,starts,3.69E-07
4790,2,4,off,off,off,PART,RP,3,prep,off,2.28E-08
4790,2,5,fruity,fruity,fruity,NOUN,NN,3,dobj,fruity,0.999999166
4790,2,6,with,with,with,ADP,IN,3,prep,with,5.59E-07
4790,2,7,notes,notes,note,NOUN,NNS,6,pobj,notes,5.76E-07
4790,2,8,of,of,of,ADP,IN,7,prep,of,1.30E-09
4790,2,9,orange,orange,orange,ADJ,JJ,10,amod,orange,0.999995112
4790,2,10,peel,peel,peel,NOUN,NN,8,pobj,peel,0.999965906
4790,2,12,banana,banana,banana,NOUN,NN,10,conj,banana,0.999999881
4790,2,14,and,and,and,CCONJ,CC,12,cc,and,1.14E-06
4790,2,15,ginger,ginger,ginger,NOUN,NN,12,conj,ginger,1
4790,2,16,at,at,at,ADP,IN,3,prep,at,5.35E-08
4790,2,17,first,first,first,ADV,RB,16,pcomp,first,2.60E-10
4790,2,19,with,with,with,ADP,IN,3,prep,with,5.09E-07
4790,2,20,a,a,a,DET,DT,21,det,a,9.47E-10
4790,2,21,touch,touch,touch,NOUN,NN,19,pobj,touch,5.69E-05
4790,2,22,of,of,of,ADP,IN,21,prep,of,2.08E-09
4790,2,23,allspice,allspice,allspice,NOUN,NN,22,pobj,allspice,0.999951124
4790,2,24,that,that,that,DET,WDT,25,nsubj,that,1.57E-10
4790,2,25,comes,comes,come,VERB,VBZ,21,relcl,comes,2.78E-07
4790,2,26,in,in,in,PART,RP,25,prt,in,2.64E-09
4790,2,27,later,later,later,ADV,RB,25,advmod,later,8.61E-08
4790,2,28,and,and,and,CCONJ,CC,25,cc,and,8.15E-07
4790,2,29,lasts,lasts,last,VERB,VBZ,25,conj,lasts,1.43E-06
4790,2,30,through,through,through,ADP,IN,29,prep,through,2.09E-07
4790,2,31,the,the,the,DET,DT,32,det,the,6.55E-08
4790,2,32,finish,finish,finish,NOUN,NN,30,pobj,finish,4.28E-06
4790,2,34,which,which,which,DET,WDT,35,nsubj,which,2.79E-09
4790,2,35,is,is,be,VERB,VBZ,32,relcl,is,1.58E-10
4790,2,36,nice,nice,nice,ADJ,JJ,35,acomp,nice,1.70E-07
4790,2,37,and,and,and,CCONJ,CC,36,cc,and,9.34E-07
4790,2,38,long,long,long,ADV,RB,36,conj,long,5.24E-08
4790,2,39,with,with,with,ADP,IN,35,prep,with,5.43E-07
4790,2,40,a,a,a,DET,DT,42,det,a,7.15E-10
4790,2,41,good,good,good,ADJ,JJ,42,amod,good,4.93E-06
4790,2,42,balance,balance,balance,NOUN,NN,39,pobj,balance,1.59E-05
4790,2,43,of,of,of,ADP,IN,42,prep,of,1.91E-09
4790,2,44,tropical,tropical,tropical,ADJ,JJ,45,amod,tropical,0.999996901
4790,2,45,fruits,fruits,fruit,NOUN,NNS,43,pobj,fruits,0.999999642
4790,2,46,and,and,and,CCONJ,CC,45,cc,and,2.21E-06
4790,2,47,soft,soft,soft,ADJ,JJ,48,amod,soft,0.999940157
4790,2,48,spices,spices,spice,NOUN,NNS,45,conj,spices,0.999995351
4790,3,2,December,December,December,PROPN,NNP,0,root,december,4.21E-05
4790,3,4,2017,2017,2017,NUM,CD,2,npadvmod,2017,0.213225171
6354,1,1,This,This,this,DET,DT,2,det,this,1.01E-08
6354,1,2,whisky,whisky,whisky,NOUN,NN,3,nsubj,whisky,2.30E-06
6354,1,3,comes,comes,come,VERB,VBZ,0,root,comes,1.10E-07
6354,1,4,from,from,from,ADP,IN,3,prep,from,9.19E-08
6354,1,5,an,an,an,DET,DT,7,det,an,1.84E-08
6354,1,6,undisclosed,undisclosed,undisclosed,ADJ,JJ,7,amod,undisclosed,9.54E-05
6354,1,7,distillery,distillery,distillery,NOUN,NN,4,pobj,distillery,2.98E-09
6354,1,9,and,and,and,CCONJ,CC,3,cc,and,6.58E-07
6354,1,10,the,the,the,DET,DT,11,det,the,5.12E-08
6354,1,11,nose,nose,nose,NOUN,NN,12,nsubj,nose,1.11E-06
6354,1,12,is,is,be,VERB,VBZ,3,conj,is,2.66E-10
6354,1,13,spicy,spicy,spicy,ADJ,JJ,12,acomp,spicy,0.999999642
6354,1,14,with,with,with,ADP,IN,13,prep,with,7.12E-07
6354,1,15,good,good,good,ADJ,JJ,16,amod,good,4.86E-06
6354,1,16,cinnamon,cinnamon,cinnamon,NOUN,NN,14,pobj,cinnamon,0.999999762
6354,1,18,rye,rye,rye,NOUN,NN,16,conj,rye,1
6354,1,20,and,and,and,CCONJ,CC,18,cc,and,1.24E-06
